Date,Open,High,Low,Close,Adj Close,Volume
2020-08-12,5.750000,5.770000,5.560000,5.640000,5.640000,136200
2020-08-13,5.700000,5.700000,5.450000,5.600000,5.600000,158300
2020-08-14,5.560000,5.840000,5.410000,5.770000,5.770000,243200
2020-08-17,5.800000,5.920000,5.707000,5.870000,5.870000,1143000
2020-08-18,5.870000,5.870000,5.640000,5.760000,5.760000,91400
2020-08-19,5.780000,5.860000,5.455000,5.530000,5.530000,156800
2020-08-20,5.470000,5.620000,5.390000,5.510000,5.510000,209000
2020-08-21,5.520000,5.550000,5.400000,5.530000,5.530000,86000
2020-08-24,5.600000,5.643000,5.090000,5.150000,5.150000,195000
2020-08-25,5.190000,5.385000,5.120000,5.335000,5.335000,98200
2020-08-26,5.340000,5.374000,5.120000,5.200000,5.200000,105400
2020-08-27,5.200000,5.200000,4.870000,5.030000,5.030000,132500
2020-08-28,5.010000,5.180000,4.910000,5.170000,5.170000,87200
2020-08-31,5.150000,5.190000,5.050000,5.140000,5.140000,136000
2020-09-01,5.120000,5.190000,4.940000,5.140000,5.140000,133300
2020-09-02,5.070000,5.200000,5.016000,5.150000,5.150000,210400
2020-09-03,5.660000,6.474000,5.410000,5.820000,5.820000,1792000
2020-09-04,5.720000,6.000000,5.300000,5.860000,5.860000,619400
2020-09-08,5.850000,6.290000,5.550000,6.130000,6.130000,573700
2020-09-09,6.150000,6.167000,4.920000,5.260000,5.260000,1179800
2020-09-10,5.260000,5.560000,5.000000,5.030000,5.030000,431100
2020-09-11,5.040000,5.190000,4.480000,4.550000,4.550000,473000
2020-09-14,4.550000,4.770000,4.320000,4.380000,4.380000,715200
2020-09-15,4.430000,5.010000,4.410000,4.990000,4.990000,390100
2020-09-16,5.090000,5.230000,5.010000,5.070000,5.070000,273200
2020-09-17,5.050000,5.189000,4.940000,5.080000,5.080000,109700
2020-09-18,5.150000,5.560000,5.010000,5.490000,5.490000,368300
2020-09-21,5.440000,5.480000,5.220000,5.350000,5.350000,190600
2020-09-22,5.350000,5.350000,5.110000,5.140000,5.140000,153700
2020-09-23,5.160000,5.216000,4.850000,4.880000,4.880000,145300
2020-09-24,4.880000,4.915000,4.575000,4.730000,4.730000,191600
2020-09-25,4.770000,5.010000,4.750000,4.870000,4.870000,133700
2020-09-28,4.910000,4.990000,4.770000,4.910000,4.910000,99400
2020-09-29,4.910000,5.082000,4.850000,4.970000,4.970000,325000
2020-09-30,4.960000,5.024000,4.800000,4.860000,4.860000,144300
2020-10-01,4.910000,5.150000,4.800000,5.000000,5.000000,478400
2020-10-02,4.880000,5.000000,4.660000,4.920000,4.920000,175200
2020-10-05,4.980000,5.600000,4.940000,5.470000,5.470000,381900
2020-10-06,5.540000,5.670000,5.300000,5.400000,5.400000,377600
2020-10-07,5.450000,5.700000,5.400000,5.470000,5.470000,166500
2020-10-08,5.590000,5.650000,5.450000,5.500000,5.500000,134200
2020-10-09,5.510000,5.700000,5.430000,5.550000,5.550000,127500
2020-10-12,5.540000,5.690000,5.340000,5.660000,5.660000,266100
2020-10-13,5.610000,5.700000,5.510000,5.590000,5.590000,78900
2020-10-14,5.570000,5.700000,5.380000,5.420000,5.420000,136800
2020-10-15,5.340000,5.400000,5.240000,5.360000,5.360000,110400
2020-10-16,5.320000,5.640000,5.240000,5.440000,5.440000,128000
2020-10-19,5.490000,5.640000,5.250000,5.270000,5.270000,120900
2020-10-20,5.270000,5.440000,5.210000,5.320000,5.320000,135500
2020-10-21,5.350000,5.430000,5.250000,5.370000,5.370000,58600
2020-10-22,5.380000,5.470000,5.230000,5.390000,5.390000,156100
2020-10-23,5.440000,5.480000,5.350000,5.460000,5.460000,60900
2020-10-26,5.440000,5.460000,5.210000,5.280000,5.280000,68900
2020-10-27,5.280000,5.370000,5.200000,5.330000,5.330000,119500
2020-10-28,5.280000,5.350000,5.080000,5.130000,5.130000,92100
2020-10-29,5.080000,5.350000,4.960000,5.260000,5.260000,114900
2020-10-30,5.250000,5.270000,5.060000,5.160000,5.160000,71400
2020-11-02,5.240000,5.320000,5.010000,5.150000,5.150000,112300
2020-11-03,5.230000,5.470000,5.230000,5.350000,5.350000,323200
2020-11-04,5.350000,5.550000,5.290000,5.530000,5.530000,271800
2020-11-05,5.570000,5.720000,5.500000,5.700000,5.700000,330600
2020-11-06,5.700000,5.700000,5.235000,5.270000,5.270000,128500
2020-11-09,5.290000,5.640000,5.210000,5.410000,5.410000,146400
2020-11-10,5.450000,5.760000,5.345000,5.650000,5.650000,102800
2020-11-11,5.200000,5.350000,5.020000,5.190000,5.190000,368800
2020-11-12,5.160000,5.290000,5.050000,5.150000,5.150000,115400
2020-11-13,5.220000,5.220000,4.920000,4.960000,4.960000,227700
2020-11-16,5.070000,5.085000,4.815000,4.930000,4.930000,201700
2020-11-17,4.870000,4.910000,4.270000,4.330000,4.330000,1204800
2020-11-18,4.390000,4.490000,4.256000,4.310000,4.310000,311000
2020-11-19,4.290000,4.320000,4.030000,4.050000,4.050000,543300
2020-11-20,4.050000,4.100000,3.880000,3.990000,3.990000,535300
2020-11-23,4.150000,4.420000,4.060000,4.280000,4.280000,450500
2020-11-24,4.330000,4.390000,4.175000,4.330000,4.330000,300300
2020-11-25,4.350000,4.350000,4.220000,4.300000,4.300000,171900
2020-11-27,4.290000,4.380000,4.270000,4.340000,4.340000,274600
2020-11-30,4.360000,4.470000,4.240000,4.440000,4.440000,270600
2020-12-01,4.410000,4.970000,4.390000,4.820000,4.820000,710200
2020-12-02,4.900000,5.250000,4.850000,5.000000,5.000000,1364900
2020-12-03,5.170000,5.170000,4.630000,4.670000,4.670000,628700
2020-12-04,4.730000,4.900000,4.650000,4.690000,4.690000,288400
2020-12-07,4.760000,4.790000,4.500000,4.550000,4.550000,344600
2020-12-08,4.550000,4.600000,4.410000,4.450000,4.450000,259200
2020-12-09,4.510000,4.510000,4.210000,4.280000,4.280000,264500
2020-12-10,4.260000,4.350000,4.090000,4.180000,4.180000,660500
2020-12-11,4.220000,4.680000,4.200000,4.670000,4.670000,425900
2020-12-14,4.740000,4.880000,4.560000,4.630000,4.630000,292600
2020-12-15,4.720000,4.744000,4.560000,4.650000,4.650000,194900
2020-12-16,4.660000,4.780000,4.580000,4.720000,4.720000,201300
2020-12-17,4.730000,4.800000,4.700000,4.800000,4.800000,150700
2020-12-18,4.860000,4.880000,4.630000,4.640000,4.640000,326400
2020-12-21,4.630000,4.630000,4.500000,4.520000,4.520000,197000
2020-12-22,4.560000,4.650000,4.490000,4.510000,4.510000,198500
2020-12-23,4.490000,4.915000,4.486000,4.790000,4.790000,386300
2020-12-24,4.790000,4.800000,4.540000,4.590000,4.590000,191900
2020-12-28,4.670000,4.670000,4.350000,4.370000,4.370000,252400
2020-12-29,4.440000,4.440000,4.000000,4.120000,4.120000,342800
2020-12-30,4.130000,4.235000,4.120000,4.220000,4.220000,186900
2020-12-31,4.220000,4.250000,4.050000,4.090000,4.090000,221800
2021-01-04,4.090000,4.406000,4.030000,4.340000,4.340000,268800
2021-01-05,4.400000,4.439000,4.260000,4.340000,4.340000,103000
2021-01-06,4.267000,4.510000,4.200000,4.290000,4.290000,304500
2021-01-07,4.370000,4.750000,4.350000,4.720000,4.720000,307700
2021-01-08,4.720000,4.734000,4.420000,4.540000,4.540000,180200
2021-01-11,4.470000,4.670000,4.400000,4.560000,4.560000,195400
2021-01-12,4.600000,4.655000,4.510000,4.600000,4.600000,148800
2021-01-13,4.620000,4.647000,4.420000,4.470000,4.470000,137300
2021-01-14,4.490000,4.720000,4.470000,4.590000,4.590000,183000
2021-01-15,4.580000,4.690000,4.460000,4.530000,4.530000,120700
2021-01-19,4.610000,4.740000,4.510000,4.700000,4.700000,239100
2021-01-20,4.750000,4.780000,4.550000,4.660000,4.660000,121000
2021-01-21,4.690000,4.820000,4.510000,4.680000,4.680000,204200
2021-01-22,4.660000,4.760000,4.600000,4.740000,4.740000,149500
2021-01-25,4.820000,4.950000,4.630000,4.880000,4.880000,221100
2021-01-26,4.960000,5.060000,4.690000,4.720000,4.720000,242500
2021-01-27,4.640000,4.700000,4.410000,4.450000,4.450000,1090300
2021-01-28,4.270000,4.350000,3.820000,3.950000,3.950000,2730200
2021-01-29,3.960000,4.050000,3.880000,3.940000,3.940000,1918600
2021-02-01,4.250000,4.250000,3.860000,3.950000,3.950000,2533300
2021-02-02,4.125000,4.190000,3.940000,4.010000,4.010000,10565100
2021-02-03,4.320000,4.490000,4.210000,4.400000,4.400000,5316100
2021-02-04,4.390000,4.560000,4.110000,4.490000,4.490000,4662900
2021-02-05,5.070000,5.420000,4.810000,5.270000,5.270000,9162900
2021-02-08,5.350000,5.400000,4.900000,5.250000,5.250000,5947800
2021-02-09,5.120000,5.280000,4.750000,4.910000,4.910000,4700500
2021-02-10,5.000000,5.230000,4.520000,5.150000,5.150000,5751000
2021-02-11,5.500000,6.660000,5.100000,5.900000,5.900000,16302900
2021-02-12,6.375000,6.550000,6.010000,6.180000,6.180000,7159100
2021-02-16,6.550000,8.880000,6.240000,8.070000,8.070000,27424200
