Atlas Resource Partners, L.P.;1700;29;;;;
Aon plc;1063;7;;;;
Advaxis, Inc.;1548;13;;;;
Agree Realty Corporation;1547;24;;;;
AmeriGas Partners, L.P.;837;23;;;;
Spirit Airlines, Inc.;1757;21;;;;
Aviva plc;195;9;;;;
Akorn, Inc.;1037;11;;;;
Alliance Data Systems Corporation;124;33;;;;
Abaxis, Inc.;1546;12;;;;
Acuity Brands, Inc.;836;19;;;;
Allied World Assurance Company Holdings, AG;1946;43;;;;
ASML Holding N.V.;942;17;;;;
American Tower Corporation;552;26;;;;
Alder Biopharmaceuticals, Inc.;1707;30;;;;
AECOM;1327;5;;;;
DreamWorks Animation SKG Inc.;212;29;;;;
Antares Pharma, Inc.;429;20;;;;
Arrow Electronics, Inc.;1037;23;;;;
Apollo Commercial Real Estate Finance, Inc.;1402;43;;;;
Airgas, Inc.;303;12;;;;
Antero Resources Corporation;795;28;;;;
Applied Micro Circuits Corporation;377;34;;;;
AMC Entertainment Holdings, Inc.;412;32;;;;
Air Lease Corporation;105;21;;;;
Agenus Inc.;1257;11;;;;
Aaron's, Inc.;112;13;;;;
Aqua America, Inc.;69;18;;;;
Fiat Chrysler Automobiles N.V.;1602;30;;;;
Booz Allen Hamilton Holding Corporation;354;39;;;;
Abraxas Petroleum Corporation;404;29;;;;
Avnet, Inc.;224;11;;;;
Albemarle Corporation;200;21;;;;
Assurant, Inc.;104;14;;;;
Science Applications International Corporation;1214;46;;;;
Avis Budget Group, Inc.;91;23;;;;
Axiall Corporation;474;18;;;;
AngloGold Ashanti Limited;542;25;;;;
AÈropostale, Inc.;176;17;;;;
Amphenol Corporation;539;20;;;;
Anthera Pharmaceuticals, Inc.;1883;29;;;;
AmÈrica MÛvil, S.A.B. de C.V.;463;29;;;;
Amedica Corporation;1231;19;;;;
Arlington Asset Investment Corp.;872;32;;;;
The Advisory Board Company;573;26;;;;
Western Asset Mortgage Capital Corporation;1994;42;;;;
Mustera Property Group Limited;979;30;;;;
Jack Henry & Associates, Inc.;1202;29;;;;
AeroVironment, Inc.;474;19;;;;
Amkor Technology, Inc.;332;22;;;;
Alon USA Energy, Inc.;1422;21;;;;
Aluminum Corporation Of China Limited;1826;37;;;;
Australian Potash Limited;471;25;;;;
Wells Fargo Advantage Multi-Sector Income Fund;1431;46;;;;
Bioptix, Inc.;1482;13;;;;
Anacor Pharmaceuticals, Inc.;43;28;;;;
Advanced Energy Industries, Inc.;1347;32;;;;
Alleghany Corporation;1776;21;;;;
MTGE Investment Corp.;1774;21;;;;
Century Aluminum Company;621;24;;;;
Altisource Portfolio Solutions S.A.;468;35;;;;
Amarin Corporation plc;1802;22;;;;
Ampio Pharmaceuticals, Inc.;934;27;;;;
AMAG Pharmaceuticals, Inc.;1568;26;;;;
Alkermes plc;912;12;;;;
Affymetrix Inc.;860;15;;;;
Advanced Emissions Solutions, Inc.;1111;34;;;;
Arctic Cat Inc.;580;15;;;;
AAON, Inc.;1459;10;;;;
Acceleron Pharma Inc.;1336;21;;;;
Verisk Analytics, Inc.;1726;22;;;;
Voxeljet AG;1698;11;;;;
Orbital ATK, Inc.;919;17;;;;
Atlas Energy Group, LLC;1890;23;;;;
Preferred Apartment Communities, Inc.;1364;37;;;;
Apollo Global Management, LLC;1375;29;;;;
Alaska Communications Systems Group, Inc.;471;41;;;;
Alamo Group Inc.;276;16;;;;
A.H. Belo Corporation;432;21;;;;
Acacia Research Corporation;1190;27;;;;
American Capital, Ltd.;1732;22;;;;
Ritchie Bros. Auctioneers Incorporated;1748;38;;;;
Mid-America Apartment Communities, Inc.;1917;39;;;;
Brookfield Asset Management Inc.;861;32;;;;
athenahealth, Inc.;76;18;;;;
Atlantic Power Corporation;295;26;;;;
Advanced Semiconductor Engineering, Inc.;1801;40;;;;
Arcos Dorados Holdings Inc.;1555;27;;;;
Arista Networks, Inc.;1233;21;;;;
Access National Corporation;1531;27;;;;
AAR Corp.;606;9;;;;
Astoria Financial Corporation;1767;29;;;;
Westinghouse Air Brake Technologies Corporation;774;47;;;;
Reliance Steel & Aluminum Co.;1848;29;;;;
Packaging Corporation of America;216;32;;;;
Cash America International, Inc.;1574;32;;;;
Accelerate Diagnostics, Inc.;1316;28;;;;
AV Homes, Inc.;413;14;;;;
Avista Corporation;1244;18;;;;
Athersys, Inc.;908;14;;;;
Arrowhead Pharmaceuticals, Inc.;1929;31;;;;
Angie's List, Inc.;1526;18;;;;
Affiliated Managers Group, Inc.;102;31;;;;
Allison Transmission Holdings, Inc.;397;35;;;;
Align Technology, Inc.;221;22;;;;
Akebia Therapeutics, Inc.;1557;25;;;;
Assured Guaranty Ltd.;337;21;;;;
Aeterna Zentaris Inc.;1652;21;;;;
AcelRx Pharmaceuticals, Inc.;1193;28;;;;
Rockwell Automation Inc.;274;24;;;;
Gaming and Leisure Properties, Inc.;602;35;;;;
Dividend and Income Fund;1831;24;;;;
AZZ Inc.;357;8;;;;
AtriCure, Inc.;1259;14;;;;
ARRIS International plc;1139;23;;;;
Aramark;1105;7;;;;
A. O. Smith Corporation;605;23;;;;
Amira Nature Foods Ltd.;211;23;;;;
American Midstream Partners, LP;175;31;;;;
AMC Networks Inc.;1987;17;;;;
Alimera Sciences, Inc.;17;22;;;;
ALLETE, Inc.;687;12;;;;
Ashford Hospitality Trust, Inc.;1778;31;;;;
Accuride Corp.;1927;14;;;;
ABB Ltd;699;7;;;;
PT Astra Agro Lestari Tbk;110;25;;;;
Spirit AeroSystems Holdings, Inc.;665;33;;;;
Sealed Air Corporation;1888;22;;;;
Elizabeth Arden, Inc.;816;21;;;;
Pan American Silver Corp.;830;25;;;;
Delphi Automotive PLC;733;21;;;;
Adama Technologies Corporation;339;30;;;;
CBL & Associates Properties, Inc.;1340;33;;;;
Banco Bilbao Vizcaya Argentaria, S.A.;243;37;;;;
Aircastle Limited;1885;17;;;;
Apogee Enterprises, Inc.;1749;24;;;;
The Andersons, Inc.;1747;19;;;;
American Superconductor Corporation;779;35;;;;
Amyris, Inc.;489;12;;;;
Amedisys, Inc.;341;14;;;;
Alexander & Baldwin, Inc.;1278;25;;;;
Alico, Inc.;110;11;;;;
Addus HomeCare Corporation;756;26;;;;
Actua Corporation;878;17;;;;
Acasti Pharma Inc.;1867;18;;;;
Atlas Air Worldwide Holdings, Inc.;1146;34;;;;
Advanced Drainage Systems, Inc.;220;31;;;;
